Date,Open,High,Low,Close,Adj Close,Volume,diff_index_date,diff_index_value
11/28/97,95.75,96.25,95.59375,95.625,61.241848,1564700,11/15/97,0.487804878
12/1/97,96.21875,98.09375,96.03125,98.09375,62.822914,4850900,11/15/97,0.487804878
12/2/97,97.6875,97.984375,97.25,97.5,62.442688,1974900,11/15/97,0.487804878
12/3/97,97.625,98.53125,96.875,97.78125,62.622791,3302500,11/15/97,0.487804878
12/4/97,98.5,98.71875,97.375,97.6875,62.562733,2872500,11/15/97,0.487804878
12/5/97,97.375,99,97.125,98.9375,63.363293,3458800,11/15/97,0.487804878
12/8/97,98.96875,99,98.25,98.65625,63.183159,2289200,11/15/97,0.487804878
12/9/97,98.21875,98.59375,97.625,98.0625,62.802921,1703000,11/15/97,0.487804878
12/10/97,97.5625,97.84375,96.46875,97.21875,62.262531,3558400,11/15/97,0.487804878
12/11/97,96.3125,96.59375,95.3125,95.5625,61.201801,5072800,11/15/97,0.487804878
12/12/97,96.4375,96.5,94.90625,95.75,61.321918,4478400,11/15/97,0.487804878
12/15/97,96.25,97.109375,95.875,96.71875,61.942303,4674700,12/15/97,0.317073171
12/16/97,97.21875,97.8125,96.875,97.3125,62.322598,2885800,12/15/97,0.317073171
12/17/97,97.84375,97.875,96.703125,96.8125,62.002384,2236300,12/15/97,0.317073171
12/18/97,96.9375,96.9375,95.21875,95.875,61.401974,4658300,12/15/97,0.317073171
12/19/97,94.53125,95.875,92.375,94.78125,60.943062,8556000,12/15/97,0.317073171
12/22/97,95.4375,95.90625,94.5625,95.390625,61.334866,5136800,12/15/97,0.317073171
12/23/97,95.4375,95.625,93.53125,93.6875,60.239716,4436500,12/15/97,0.317073171
12/24/97,94.4375,94.4375,93.25,93.40625,60.058907,2019200,12/15/97,0.317073171
12/26/97,94.125,94.125,93.40625,93.78125,60.300041,941800,12/15/97,0.317073171
12/29/97,94.59375,95.71875,94.4375,95.625,61.48555,2080000,12/15/97,0.317073171
12/30/97,95.9375,97.25,95.84375,97.125,62.450043,3616000,12/15/97,0.317073171
12/31/97,96.875,97.625,96.6875,97.0625,62.409836,4359500,12/15/97,0.317073171
1/2/98,97.3125,97.65625,96.53125,97.5625,62.731331,2360900,12/15/97,0.317073171
1/5/98,97.84375,98.4375,96.78125,97.78125,62.871994,4191800,12/15/97,0.317073171
1/6/98,97.25,97.28125,96.1875,96.21875,61.867275,3154900,12/15/97,0.317073171
1/7/98,96.09375,96.71875,95.21875,96.46875,62.028042,4424200,12/15/97,0.317073171
1/8/98,96.3125,96.3125,95.375,95.625,61.48555,3831000,12/15/97,0.317073171
1/9/98,95.25,95.5,91.90625,92.3125,59.355667,10258800,12/15/97,0.317073171
1/12/98,91.125,94.1875,90.90625,94,60.440693,12097900,12/15/97,0.317073171
1/13/98,94.625,95.375,94.21875,95.3125,61.284626,5224900,12/15/97,0.317073171
1/14/98,95.6875,95.96875,94.71875,95.75,61.565945,3770400,12/15/97,0.317073171
1/15/98,95.5,95.75,94.8125,94.953125,61.053543,2875400,1/15/98,0.268292683
1/16/98,96.25,96.6875,95.65625,96.3125,61.927608,4374800,1/15/98,0.268292683
1/20/98,96.6875,98.015625,96.5,97.875,62.932251,5091700,1/15/98,0.268292683
1/21/98,97.21875,97.6875,96.15625,96.9375,62.329487,4699400,1/15/98,0.268292683
1/22/98,96.15625,96.875,95.875,96.078125,61.776878,4543400,1/15/98,0.268292683
1/23/98,96.5,96.78125,95,95.9375,61.686485,6350300,1/15/98,0.268292683
1/26/98,96.375,96.734375,95.40625,95.875,61.646297,4362900,1/15/98,0.268292683
1/27/98,95.8125,97.5,95.65625,96.84375,62.269165,7044200,1/15/98,0.268292683
1/28/98,97.40625,98.109375,97.1875,97.71875,62.831768,4268600,1/15/98,0.268292683
1/29/98,97.84375,99.5625,97.5625,98.25,63.173382,8007700,1/15/98,0.268292683
1/30/98,98.78125,98.96875,98,98.3125,63.213554,3649100,1/15/98,0.268292683
2/2/98,99.90625,100.5,99.75,99.9375,64.258415,5756300,1/15/98,0.268292683
2/3/98,100,100.8125,99.71875,100.6875,64.740654,2759600,1/15/98,0.268292683
2/4/98,100.28125,101.15625,99.9375,100.5625,64.660294,3374000,1/15/98,0.268292683
2/5/98,101.3125,101.59375,100.03125,100.5,64.62011,5076200,1/15/98,0.268292683
2/6/98,101,101.625,100.6875,101.625,65.343452,5701200,1/15/98,0.268292683
2/9/98,101.71875,101.75,100.71875,101.28125,65.122444,2322200,1/15/98,0.268292683
2/10/98,101.4375,102.46875,101.1875,102.25,65.745331,3660400,1/15/98,0.268292683
2/11/98,102.09375,102.34375,101.703125,102.15625,65.685066,4073200,1/15/98,0.268292683
2/12/98,101.71875,102.9375,100.875,102.59375,65.966354,5024700,1/15/98,0.268292683
2/13/98,102.1875,102.515625,101.875,102,65.584564,2101300,1/15/98,0.268292683
2/17/98,102.8125,103.09375,102.15625,102.5,65.906082,3055500,2/15/98,0.268292683
2/18/98,102.3125,103.484375,102.28125,103.4375,66.508865,3007400,2/15/98,0.268292683
2/19/98,103.25,103.40625,102.75,102.890625,66.157242,3387800,2/15/98,0.268292683
2/20/98,103.15625,103.71875,102.375,103.65625,66.649529,3707000,2/15/98,0.268292683
2/23/98,104.25,104.25,103.34375,104.0625,66.910713,3227800,2/15/98,0.268292683
2/24/98,103.90625,104.09375,102.9375,103.25,66.388336,3386800,2/15/98,0.268292683
2/25/98,103.75,104.875,103.625,104.53125,67.212143,3481800,2/15/98,0.268292683
2/26/98,104.4375,105.21875,104.1875,105.125,67.59391,3187600,2/15/98,0.268292683
2/27/98,104.96875,105.53125,104.53125,105.125,67.59391,3442900,2/15/98,0.268292683
3/2/98,105.25,105.75,104.625,104.90625,67.453247,4252300,2/15/98,0.268292683
3/3/98,104.53125,105.625,104.53125,105.5,67.835014,3349200,2/15/98,0.268292683
3/4/98,105.09375,105.40625,104.4375,104.8125,67.39299,4404100,2/15/98,0.268292683
3/5/98,103.5,104.4375,103.15625,103.84375,66.770081,7268000,2/15/98,0.268292683
3/6/98,104.5625,105.9375,104.4375,105.9375,68.116333,6896300,2/15/98,0.268292683
3/9/98,105.53125,106.21875,105.25,105.5625,67.875229,3362800,2/15/98,0.268292683
3/10/98,106.21875,106.84375,105.9375,106.5625,68.518211,5481900,2/15/98,0.268292683
3/11/98,106.96875,107.3125,106.78125,107.0625,68.839714,3439600,2/15/98,0.268292683
3/12/98,107.09375,107.59375,106.5,107.5,69.121002,3191300,2/15/98,0.268292683
3/13/98,107.84375,108,106.875,107.09375,68.859795,2879400,2/15/98,0.268292683
3/16/98,107.84375,108.375,107.53125,108.25,69.603249,3223600,3/15/98,0.243902439
3/17/98,108.3125,108.5625,107.65625,108.5625,69.804161,4581900,3/15/98,0.243902439
3/18/98,108.25,108.96875,108.03125,108.96875,70.065399,1944100,3/15/98,0.243902439
3/19/98,108.96875,109.375,108.65625,109.25,70.246246,2554800,3/15/98,0.243902439
3/20/98,109.5625,110.1875,108.875,109.875,70.851089,3123300,3/15/98,0.243902439
3/23/98,109.71875,110.3125,109.40625,109.625,70.68988,4453100,3/15/98,0.243902439
3/24/98,110.0625,110.8125,109.9375,110.5625,71.294426,3333600,3/15/98,0.243902439
3/25/98,111.40625,111.53125,109.1875,110.15625,71.03241,4597600,3/15/98,0.243902439
3/26/98,109.875,110.75,109.625,110.09375,70.992126,3333500,3/15/98,0.243902439
3/27/98,110.75,110.78125,109,109.625,70.68988,2611300,3/15/98,0.243902439
3/30/98,109.625,110.09375,108.96875,109.5625,70.64959,3108700,3/15/98,0.243902439
3/31/98,110.15625,111.1875,109.75,109.9375,70.891403,5926500,3/15/98,0.243902439
4/1/98,110.3125,111.078125,109.40625,110.828125,71.465691,2929000,3/15/98,0.243902439
4/2/98,110.9375,112.25,110.75,112.03125,72.241486,3920900,3/15/98,0.243902439
4/3/98,112.34375,112.8125,111.84375,112.59375,72.60421,3787600,3/15/98,0.243902439
4/6/98,113.25,113.375,111.6875,111.6875,72.019859,4550500,3/15/98,0.243902439
4/7/98,111.75,111.9375,110.15625,110.9375,71.536232,5583700,3/15/98,0.243902439
4/8/98,111.21875,111.28125,109.75,110.3125,71.133224,4854800,3/15/98,0.243902439
4/9/98,110.5625,111.28125,110.53125,111.1875,71.697418,4481200,3/15/98,0.243902439
4/13/98,111.375,111.375,110,110.875,71.495903,4350200,3/15/98,0.243902439
4/14/98,111.125,111.8125,110.90625,111.8125,72.100464,3279100,3/15/98,0.243902439
4/15/98,111.96875,112.125,111.15625,112.125,72.301956,3867200,4/15/98,0.219512195
